episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
77,2000,665.2353515625,1234.27975121191,0.29529000000000005,1032.7353515625,3675.0,9417,,,,,
78,2002,217.05841064453125,1005.741243931555,0.28351000000000004,572.5584106445312,3555.0,9541,,,,,
79,2018,288.565185546875,1162.575349130938,0.27173000000000014,685.565185546875,3970.0,9665,,,,,
80,2007,975.2586669921875,1014.538887118505,0.2602350000000001,1366.2586669921875,3910.0,9786,,,,,
81,2007,981.904541015625,1237.4772821851998,0.24874000000000007,1357.904541015625,3760.0,9907,,,,,
82,2005,129.50924682617188,1349.9740520292712,0.23696000000000006,492.5092468261719,3630.0,10031,,,,,
83,2011,389.2525634765625,1320.3067159334819,0.22555999999999998,732.7525634765625,3435.0,10151,,,,,
84,2008,157.688232421875,1593.3821065018817,0.21387500000000004,576.188232421875,4185.0,10274,,,,,
85,2014,356.19268798828125,1470.9326784748675,0.20238,715.6926879882812,3595.0,10395,,,,,
86,2007,1024.33544921875,1483.8239736320559,0.19088499999999997,1376.33544921875,3520.0,10516,,,,,
87,2016,672.7974853515625,1389.3657614022247,0.17939000000000005,1017.7974853515625,3450.0,10637,,,,,
88,2016,574.7586059570312,1758.7325949865924,0.16789500000000002,982.7586059570312,4080.0,10758,,,,,
89,2003,182.74884033203125,1251.9811892587632,0.15630500000000003,557.2488403320312,3745.0,10880,,,,,
90,2012,-3.182830810546875,1155.9145177401028,0.14395500000000006,380.8171691894531,3840.0,11010,,,,,
91,2018,241.03692626953125,1169.1635483772525,0.13217500000000004,614.5369262695312,3735.0,11134,,,,,
92,2012,18.666168212890625,1467.98650533236,0.11982500000000007,388.1661682128906,3695.0,11264,,,,,
93,2018,266.8428955078125,1172.0529042828468,0.10804500000000006,664.3428955078125,3975.0,11388,,,,,
94,2001,65.39968872070312,1731.2588068644206,0.09607500000000002,440.3996887207031,3750.0,11514,,,,,
95,2002,211.3623046875,1611.333846215279,0.08429500000000001,595.3623046875,3840.0,11638,,,,,
96,2017,-10.781585693359375,1711.109239578247,0.07251500000000011,380.7184143066406,3915.0,11762,,,,,
97,2016,479.93359375,1848.3245133959558,0.061020000000000074,847.93359375,3680.0,11883,,,,,
98,2014,230.02203369140625,1374.5419681013122,0.050000000000000044,599.0220336914062,3690.0,12004,,,,,
99,2019,167.95330810546875,1537.5413171930832,0.050000000000000044,514.4533081054688,3465.0,12133,,,,,
100,2009,138.53579711914062,1652.1273218989372,0.050000000000000044,509.0357971191406,3705.0,12261,-0.9149169921875,8.303558349609375,3850.0,384.0850830078125,2.0
101,2003,110.25131225585938,2098.345314526167,0.050000000000000044,473.2513122558594,3630.0,12383,,,,,
